110,3333333	62	1,00	105
129	74,33333333	1,43	150
116,3333333	69	1,21	125
106	48	1,09	81
122,6666667	64,66666667	1,22	133
103,6666667	41,33333333	0,96	71
89,66666667	40	0,73	59
115	40,33333333	0,48	76
50,66666667	22	0,16	15
46,66666667	20,66666667	0,11	15
42,33333333	20	0,14	12
45	23,66666667	0,17	17
55,33333333	23,33333333	0,20	20
19	10,33333333	0,05	3
46,33333333	19,66666667	0,12	14
46	20,66666667	0,11	15
48	22	0,15	16
54	22	0,19	17
46,33333333	20,33333333	0,15	16
32,66666667	17,33333333	0,12	9
34,66666667	21	0,10	11
39	19,66666667	0,10	12
38	20,33333333	0,09	12
37,33333333	20,33333333	0,08	12
49,66666667	19,33333333	0,10	15